>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
>> kazi haina ugeni. --	work knows no guest. when a guest arrives at the host's, the guest gets time to be entertained and to rest. when that period is over, and the host resumes his work which even the guest can do, the guest joins in without hesitation
>> kazi hayendi, ila kwa kunga. --	the work will not progress if one does not know the rules [for the initiated]. the work cannot be satisfactory until you are accepted and know all the tricks. "a specialized knowledge for every job."
>> kazi isiyo faida kutenda si ada. --	work without profit, it is not fit for reward. uselessness is damaging.
>> kazi isiyo kipimo mwishowe watu hutetana. --	work that has no measure, at the end of it people quarrel. do not overburden a fellow human being.
>> kazi, isiyokuwa na manufaa, kutenda si ada. --	useless work is worthless.
>> kazi lazima ifanywe. --	work must be done.
>> kazi mbaya si mchezo mwema. --	bad work is not good play.
>> kazi mbili si mchezo mwema. --	working two jobs is not nice play.
>> kazi mbi si mchezo mwema. --	bad work is better than good play. a laborious work cannot be compared with the attraction of play: one has profit, the other leads to starvation.
>> kazi ngumu mpe mwenyezi. --	hard work give it to the almighty. do not do the impossible.
>> kazi ni dawa. --	work is like a medicine. work cures.
>> kazi ni kanzi. --	work is a treasure. work is a source of prosperity and happiness.
>> kazi ni pato. --	work is income. "in order to gain something you must work for it. to desire a thing without work is to fall into the devil's trap."
>> kazi ya kijungu jiko mekoni. --	work for the little pot on the stove. to work for food or daily need only, not for a salary.
>> kazi ya kijungu meko. --	to work just for food.
>> kazi ya kugawanywa haziishii katikati. --	shared works don't stop halfway. work done together will be successfully finished.
>> kazi ya msira huisirasira. --	work for a miser does not pay. sira: dreg, leftover pulp.
>> kazi ya shikazi, niwachia kazi! kazi ya msira huisira-sira. --	work for money, leave that to me. the work for a miser i usually scamp. msira for bahili: miser. shikazi: old word for dollar.
>> kazi yoyote ina faida. --	all work is useful.
>> kelele za chura hazimkatazi ng'ombe kunywa maji. --	the noise of the frog does not stop the cow from drinking water.
>> kelele za mlango hazimwudhi mwenye nyumba. --	the creaking of the door doesn't bother the owner of the house. one gets used to those things and doesn't notice even what is wrong.
>> kelele za mlango haziniwasi hekima. --	the creaking of the door does not deprive me of respect. does not take away my good name.
>> kelele za mlango haziniwasi usingizi. --	the creaking of the door deprives me of no sleep. do not care about words of complaint of other people, because you know that they cannot harm you. haziniwasi = hazinikoseshi: they do not deprive me.
>> kelele za mpagaji hazimuasi mwenye nyumba kulala. --	the noise of the tenant does not deprive the homeowner of sleep. but also: kelele za mwenye nyumba hazimkatazi (or hazimuudhi) mgeni kulala. --	the noise of the owner of the house does not stop the guest from sleeping. one in need accepts inconveniences.
>> kenda fumbata si kumi njoo kesho. --	nine grasped in the hand is better than come tomorrow for ten. if someone pays you half of what is owed, take it; it is better than the promise: tomorrow i'll pay you all
>> kenda fumbata, sio kumi nenda uje [kesho]. --	grasp the nine, not the ten to collect later [tomorrow]. nine things of which you are sure are better than ten you are promised. "a bird in the hand is worth two in the bush."
>> kenda karibu ya kumi. --	nine is close to ten. words of comfort: don't give up now. patience wins the day.
>> kendwa hayendwi, mkenda kumi, hurudi kenda. --	kendwa is not a place to travel to; if you number ten in going there, you will number nine when coming back. one will die. kendwa: a place near mombasa which had a bad reputation.
>> kenge akitembea, jongoo anajianaika. --	when the monitor lizard is out walking, the centipede takes it easy in the sun. anika: expose to the sun.
>> kenge aliuma sababu ya pumzi. --	the monitor salamander bit because it was out of breath. in desperation a person hopes that an uncertain solution will appear.
>> kengele hailii bure, mpaka mtu anaichokoza. --	a bell does not ring by itself, someone must put it in motion. mpaka, ila: but, until. chokoza: tease, bully, annoy, vex.
>> kenge ni kenge; hawi mamba. --	a monitor lizard is a monitor and never will be a crocodile.
>> kesho si leo. --	tomorrow is not today. "said when a customer promises: 'i'll pay tomorrow”
>> kianzacho vema si lazima kumaliza vema. --	what is well started does not necessarily end well.
>> kiatu (or viatu) siku ya mwendo. --	shoe for the day of a journey.
>> kibarua hulima juani, tajiri hulia kivulini. --	a day-worker cultivates in the sun, the master eats in the shade. one toils, the other munches.
>> kibaya chako chema cha mwenzio. --	bad luck is yours, good luck is for your companion. bad things that happen are for you to carry alone, success is shared with friends.
>> kibaya chako si chema cha mwenzio. --	what is bad for you is not good for your neighbor.
>> kibiriti huwaka, hakitashinda kasuku. --	the match burns, but it cannot compete with resin. modern matches are no match for our old-fashioned resin sticks. new inventions are not always as good as old standbys.
>> kiboko pake ni pwani maregeo ni majini. --	the hippo's place is on the shore, it will always return to the water. "a person may pretend belonging to a higher class of people, but one day that person will come down again."
>> kiburi ni majuto. --	arrogance is followed by regrets.
>> kiburi si maungwana. --	majivuno si maungwana. arrogance is not noble.
>> kibuyu cha mgema hakivunjwi na mti. --	one does not break the calabash of the wine tapper with a stick. being aggressive spoils happiness.
>> kibuyu kisipopasuka, kinaweza kuchotea maji mengine. --	if the gourd is not broken, it can be used again to draw water. if your plan fails, you can formulate another one
>> kibuzi akafa vigongo. --	 the kid (young goat) died from blows with a stick. it became the laughing stock, the scapegoat.
>> kichache hakikutoshi, na kingi hakikulishi. --	a little does not suffice for you, a lot does not feed [your greed] either. a greedy person always wants more.
>> kichango, kuchangizana. --	everyone should contribute when a collection is made. people should work together. 
>> kichango, kushirikiana. --	everyone should contribute when a collection is made. people should work together. 
>> kichwa cha kuku hakihimili kilemba. --	the head of a chicken cannot support a turban. a worthless person should not be invested with authority.
>> kichwa cha nyoka hakibandiki mtungi. --	the head of a snake cannot carry a heavy pot. a fool should not be put in charge of an important matter.
>> kichwa kimoja hakivai kofia mbili. --	a single head does not wear two hats. one person should not be in charge of two offices at the same time. later, the arusha declaration: "no
>> kichwa ulichokitoa damu napo usiokote chawa zake. --	don't collect the lice of the head you bloodied. don't expect any good of an enemy, even after his death
>> kidagaa kimemwozea. --	the small sardine has turned bad for he. one's small enterprise has gone bad.
>> kidaka huanguka na nazi ikawa palepale. --	the totally unripe coconut falls down while the ripe one stays tight. a young child can die and the old ones stay alive.
>> kidaku anakazana lakini umaskini haumtoki. --	the greedy person may try as hard as possible, but will not escape poverty. daku: food eaten at night before breakfast or before a fast day.
>> kidege hakina nyumba, nyumba yake mti. --	the little bird has no house, its home is a tree. usage: of somebody in difficulties. like a bird on a branch, always on the move.
>> kidevu kamwambia ndevu kila apataye huwa mwerevu. --	the chin says to the beard that everyone who obtains is clever. the most crafty one gets it.
>> kidogo cha mwenye haki [ni bora]. --	a little of a just person is excellent.
>> kidogo ni tamu, kingi huembeza. --	a little is sweet, a lot is oppressing. "makes you sick." "too much of a good thing; advice to a young girl about lovers"
>> kidole chako kibaya chaweza kufaa siku baya. --	your bad finger could be useful on a bad day. about a bad relative, etc.
>> kidole chako kibaya si kikate. --	don't cut off your bad finger. don't cut off a bad relative.
>> kidole cha mkubwa kilimpatia mbuzi mimba. --	the finger of the headman has made the goat pregnant,. the experience of a superior proves to be effective.
>> kidole kimoja hakivunji (or hakiui) chawa. --	a single finger does not kill a louse. the necessity of joint action. one cannot cut a tree with one stroke.
>> kidole kimoja kikiumia, vingine vyatoa damu. --	if one finger hurts, the other fingers are bleeding. the pain of one harms the whole community.
>> kidole kingali kizima kizuri, kikiugua ugonjwa kibaya. --	if the finger is intact it is good, but if the finger is sick, it's declared bad. the husband does not easily tolerate a sick spouse.
